Bar,Brewery,Beer,ABV,Style,No,size,Kils,Supplier
South,Lizard,Organic Bitter,4.2%,Best Bitter,3,18,3,Moor
South,Mayfields,Pioneer,3.8%,Bitter,3,18,3,Molecrew
South,Moor,Old Freddie Walker,7.3%,Strong,6,9,3,Moor
South,Nobby's,Wild West Bitter,4.6%,,6,9,3,Brewery
South,O'Hanlons,Champion Wheat,4%,Wheat,3,18,3,Moor
South,Oakleaf,I Can't Believe its Not Butter,4.9%,Lager,3,18,3,Molecrew
South,Old Luxtors,Barn Ale,4%,Bitter,3,18,3,Buntingford
South,RCH,Old Slug Porter,4.5%,Porter,2,18,2,Breconshire
South,Ringwood,Boondoggle,3.9%,Bitter,3,18,3,Small beer
South,Rockingham,Fruits of the Forest,4%,Best Bitter,3,9,1.5,Brewery
South,Rockingham,Black forest,4.8%,Stout,3,9,1.5,Brewery
South,St Austall,Black Prince,3.9%,Mild,3,9,1.5,Small beer
South,Stanway,Stanney Bitter,4.5%,Premium,3,18,3,Breconshire
South,Southams,Hopnosis,4.5%,Golden,3,18,3,Moor
South,Ventnor,Oyster Stout,4.5%,Stout,2,18,2,Boggart
South,Westbury,Amber daze,3.8%,Bitter,3,9,1.5,Small beer
South,Westerham,Grasshopper Kentish Bitter,3.8%,Bitter,3,18,3,Buntingford
South,Whitstable,Wheat,4.5%,Wheat,3,18,3,Buntingford
South,White,Love handle,4.5%,Premium,3,18,3,Molecrew
South,Wooden Hand,Black Pearl,4%,Best Bitter,6,9,3,Molecrew
